station,date,daily_entries
1 AVE,2013-01-01,0.0
1 AVE,2013-01-02,16240.0
1 AVE,2013-01-03,22115.0
1 AVE,2013-01-04,22537.0
1 AVE,2013-01-05,20519.0
1 AVE,2013-01-06,16921.0
1 AVE,2013-01-07,17347.0
1 AVE,2013-01-08,22368.0
1 AVE,2013-01-09,22703.0
1 AVE,2013-01-10,23239.0
1 AVE,2013-01-11,23659.0
1 AVE,2013-01-12,21230.0
1 AVE,2013-01-13,17949.0
1 AVE,2013-01-14,18067.0
1 AVE,2013-01-15,22045.0
1 AVE,2013-01-16,23336.0
1 AVE,2013-01-17,22992.0
1 AVE,2013-01-18,23985.0
1 AVE,2013-01-19,21568.0
1 AVE,2013-01-20,18114.0
1 AVE,2013-01-21,14605.0
1 AVE,2013-01-22,18762.0
1 AVE,2013-01-23,22495.0
1 AVE,2013-01-24,22328.0
1 AVE,2013-01-25,22856.0
1 AVE,2013-01-26,20679.0
1 AVE,2013-01-27,18404.0
1 AVE,2013-01-28,18454.0
1 AVE,2013-01-29,23058.0
1 AVE,2013-01-30,23024.0
1 AVE,2013-01-31,23809.0
1 AVE,2013-02-01,24229.0
1 AVE,2013-02-02,22530.0
1 AVE,2013-02-03,19115.0
1 AVE,2013-02-04,19195.0
1 AVE,2013-02-05,22991.0
1 AVE,2013-02-06,23584.0
1 AVE,2013-02-07,24324.0
1 AVE,2013-02-08,25130.0
1 AVE,2013-02-09,16365.0
1 AVE,2013-02-10,17510.0
1 AVE,2013-02-11,21308.0
1 AVE,2013-02-12,22399.0
1 AVE,2013-02-13,24353.0
1 AVE,2013-02-14,24730.0
1 AVE,2013-02-15,25435.0
1 AVE,2013-02-16,22914.0
1 AVE,2013-02-17,18948.0
1 AVE,2013-02-18,15643.0
1 AVE,2013-02-19,18989.0
1 AVE,2013-02-20,22445.0
1 AVE,2013-02-21,23908.0
1 AVE,2013-02-22,24473.0
1 AVE,2013-02-23,21650.0
1 AVE,2013-02-24,17888.0
1 AVE,2013-02-25,18421.0
1 AVE,2013-02-26,23121.0
1 AVE,2013-02-27,24503.0
1 AVE,2013-02-28,24319.0
1 AVE,2013-03-01,25010.0
1 AVE,2013-03-02,23600.0
1 AVE,2013-03-03,19466.0
1 AVE,2013-03-04,19198.0
1 AVE,2013-03-05,24878.0
1 AVE,2013-03-06,24416.0
1 AVE,2013-03-07,24323.0
1 AVE,2013-03-08,24225.0
1 AVE,2013-03-09,22484.0
1 AVE,2013-03-10,20329.0
1 AVE,2013-03-11,19638.0
1 AVE,2013-03-12,24481.0
1 AVE,2013-03-13,23697.0
1 AVE,2013-03-14,25277.0
1 AVE,2013-03-15,25911.0
1 AVE,2013-03-16,22419.0
1 AVE,2013-03-17,18892.0
1 AVE,2013-03-18,20444.0
1 AVE,2013-03-19,22532.0
1 AVE,2013-03-20,23715.0
1 AVE,2013-03-21,25663.0
1 AVE,2013-03-22,24197.0
1 AVE,2013-03-23,21578.0
1 AVE,2013-03-24,19012.0
1 AVE,2013-03-25,17978.0
1 AVE,2013-03-26,19830.0
1 AVE,2013-03-27,21246.0
1 AVE,2013-03-28,22056.0
1 AVE,2013-03-29,22058.0
1 AVE,2013-03-30,20979.0
1 AVE,2013-03-31,17036.0
1 AVE,2013-04-01,16572.0
1 AVE,2013-04-02,21000.0
1 AVE,2013-04-03,23488.0
1 AVE,2013-04-04,24690.0
1 AVE,2013-04-05,25140.0
1 AVE,2013-04-06,23801.0
1 AVE,2013-04-07,19269.0
1 AVE,2013-04-08,19135.0
1 AVE,2013-04-09,23319.0
1 AVE,2013-04-10,24254.0
1 AVE,2013-04-11,24043.0
1 AVE,2013-04-12,25775.0
1 AVE,2013-04-13,22281.0
1 AVE,2013-04-14,19754.0
1 AVE,2013-04-15,19673.0
1 AVE,2013-04-16,23060.0
1 AVE,2013-04-17,24052.0
1 AVE,2013-04-18,25269.0
1 AVE,2013-04-19,24535.0
1 AVE,2013-04-20,23524.0
1 AVE,2013-04-21,20000.0
1 AVE,2013-04-22,19604.0
1 AVE,2013-04-23,23615.0
1 AVE,2013-04-24,22496.0
1 AVE,2013-04-25,24841.0
1 AVE,2013-04-26,24772.0
